COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,AVGDIST
17,A,CRP,DRV,25017,16.0463736
6,A,CRP,DRV,25021,14.31118332
9,A,CRP,DRV_T,25017,15.28914971
7,A,CRP,WLK_T,25017,5.863921842
10,A,DF,DRV,25009,31.20087319
35,A,DF,DRV,25017,20.90260729
9,A,DF,DRV,25021,24.34575287
6,A,DF,DRV,25023,42.29437992
8,A,DF,DRV,25025,9.615436833
10,A,DF,DRV_T,25017,19.75282306
7,A,DF,WLK_T,25017,20.8504138
6,A,ENG,DRV,25009,24.9269792
28,A,ENG,DRV,25017,18.85081419
9,A,ENG,DRV,25021,15.10740067
9,A,ENG,DRV_T,25017,12.13839769
15,A,ENG,WLK_T,25017,8.130365421
5,A,ENG,WLK_T,25025,6.844106677
13,A,HAS,DRV,25017,10.28454265
8,A,HAS,WLK_T,25017,10.39519159
6,A,IST,BIC,25017,6.221292574
16,A,IST,DRV,25009,31.09041557
77,A,IST,DRV,25017,17.14180095
17,A,IST,DRV,25021,18.25596167
7,A,IST,DRV,25023,42.09059965
13,A,IST,DRV,25025,9.255573181
12,A,IST,DRV_T,25017,12.62078709
5,A,IST,UNK,25017,5.638759257
5,A,IST,WLK,25017,0.888859468
29,A,IST,WLK_T,25017,8.708587582
7,A,IST,WLK_T,25021,18.48419558
5,A,IST,WLK_T,25025,7.063879718
8,A,LIB,DRV,25009,40.67133411
23,A,LIB,DRV,25017,14.37077754
29,A,LIB,DRV_T,25017,10.06113453
13,A,LIB,UNK,25017,13.4504825
5,A,LIB,UNK,25025,3.396177687
57,A,LIB,WLK_T,25017,8.581641851
13,A,LIB,WLK_T,25021,15.95193351
10,A,LIB,WLK_T,25025,6.719967948
11,A,OTH,DRV,25017,15.27747393
5,A,OTH,WLK_T,25017,13.75572376
10,A,SAP,DRV,25017,14.23449738
14,A,SCI,DRV,25017,19.03905978
14,A,SLD,BIC,25017,4.369066185
24,A,SLD,CARPOOL,25017,14.15311889
48,A,SLD,DRV,25009,33.94877983
242,A,SLD,DRV,25017,18.28093508
58,A,SLD,DRV,25021,15.26952049
14,A,SLD,DRV,25023,46.22838231
54,A,SLD,DRV,25025,7.92256253
8,A,SLD,DRV,25027,71.93785519
5,A,SLD,DRV,33011,75.40245828
10,A,SLD,DRV,33015,63.94826887
10,A,SLD,DRV_T,25009,32.909123
72,A,SLD,DRV_T,25017,14.6056616
24,A,SLD,DRV_T,25021,20.37029917
7,A,SLD,DRV_T,25023,45.76411424
19,A,SLD,DRV_T,25025,6.889245057
6,A,SLD,DRV_T,25027,64.68169531
20,A,SLD,UNK,25017,9.899445945
5,A,SLD,UNK,25021,22.83322842
6,A,SLD,UNK,25025,6.319510798
10,A,SLD,WLK,25017,2.607587619
10,A,SLD,WLK_T,25009,34.06606428
140,A,SLD,WLK_T,25017,9.424562813
43,A,SLD,WLK_T,25021,18.08217878
10,A,SLD,WLK_T,25023,45.86097306
65,A,SLD,WLK_T,25025,5.417080161
5,A,SSM,CARPOOL,25017,9.3409754
11,A,SSM,DRV,25009,35.66787024
44,A,SSM,DRV,25017,16.69878579
6,A,SSM,DRV,25021,13.4359281
11,A,SSM,DRV,25025,5.131716178
15,A,SSM,DRV_T,25017,10.16050764
14,A,SSM,DRV_T,25025,6.325740703
5,A,SSM,UNK,25017,5.35602968
22,A,SSM,WLK_T,25017,11.68512489
6,A,SSM,WLK_T,25021,20.09866088
24,A,SSM,WLK_T,25025,5.358293758
48,AS,ENG,BIC,25017,3.428365115
11,AS,ENG,BIC,25025,4.735943532
10,AS,ENG,BIC_T,25017,4.239003911
31,AS,ENG,CARPOOL,25017,9.759175794
26,AS,ENG,DRV,25009,34.52256382
208,AS,ENG,DRV,25017,16.02513563
31,AS,ENG,DRV,25021,14.06932711
34,AS,ENG,DRV,25025,7.049896695
14,AS,ENG,DRV,25027,73.74740378
48,AS,ENG,DRV_T,25017,12.70375145
7,AS,ENG,DRV_T,25021,17.37359481
10,AS,ENG,DRV_T,25025,6.592630398
5,AS,ENG,OTH,25009,39.32064884
32,AS,ENG,OTH,25017,13.49908978
10,AS,ENG,UNK,25009,33.79192743
360,AS,ENG,UNK,25017,9.451343587
47,AS,ENG,UNK,25021,10.13298276
72,AS,ENG,UNK,25025,3.687107152
63,AS,ENG,WLK,25017,1.515614461
274,AS,ENG,WLK_T,25017,5.830439949
36,AS,ENG,WLK_T,25021,13.35700694
89,AS,ENG,WLK_T,25025,4.294382629
5,AS,ENG,WLK_T,25027,70.8017714
7,AS,HAS,BIC,25017,2.505492128
49,AS,HAS,DRV,25017,14.74028921
15,AS,HAS,DRV,25021,6.995477211
9,AS,HAS,DRV,25025,7.157524426
19,AS,HAS,DRV_T,25017,9.388926981
6,AS,HAS,OTH,25017,12.65510347
61,AS,HAS,UNK,25017,7.553918686
10,AS,HAS,UNK,25021,15.72846539
18,AS,HAS,UNK,25025,4.349353656
6,AS,HAS,UNK,36061,367.9519233
11,AS,HAS,WLK,25017,1.404880921
68,AS,HAS,WLK_T,25017,4.59017387
20,AS,HAS,WLK_T,25025,4.946881886
11,AS,LL,BIC,25017,16.24633094
42,AS,LL,DRV,25017,18.94351391
12,AS,LL,UNK,10890,1915.748594
24,AS,LL,UNK,25005,50.79588759
127,AS,LL,UNK,25009,37.12337819
1470,AS,LL,UNK,25017,27.11622043
112,AS,LL,UNK,25021,23.25487037
23,AS,LL,UNK,25023,44.00459761
62,AS,LL,UNK,25025,6.33050227
115,AS,LL,UNK,25027,69.99026606
11,AS,LL,UNK,32003,4915.208062
127,AS,LL,UNK,33011,66.24279737
49,AS,LL,UNK,33015,66.05993756
6,AS,LL,UNK,44007,64.70200255
7,AS,LL,UNK,80410,3747.778015
197,AS,LL,WLK_T,25017,7.04793446
11,AS,LL,WLK_T,25021,18.17944284
22,AS,LL,WLK_T,25025,3.904761583
10,AS,OTH,DRV,25017,20.56327513
15,AS,OTH,WLK_T,25017,6.601868838
6,AS,OTH,WLK_T,25021,15.07642293
15,AS,SAP,BIC,25017,3.768175012
6,AS,SAP,DRV,25009,33.78166906
36,AS,SAP,DRV,25017,16.78763509
7,AS,SAP,DRV,25021,17.70355246
5,AS,SAP,DRV,25025,5.914199351
8,AS,SAP,DRV_T,25017,8.770282914
63,AS,SAP,UNK,25017,7.282933549
7,AS,SAP,UNK,25021,5.954644175
30,AS,SAP,UNK,25025,4.151624305
6,AS,SAP,UNK,36061,368.8414234
32,AS,SAP,WLK_T,25017,5.305282089
8,AS,SAP,WLK_T,25025,5.228327919
60,AS,SCI,BIC,25017,3.265509236
11,AS,SCI,BIC,25025,4.346988359
10,AS,SCI,CARPOOL,25017,12.27065064
13,AS,SCI,DRV,25009,29.80576951
113,AS,SCI,DRV,25017,15.80733321
25,AS,SCI,DRV,25021,15.08077533
17,AS,SCI,DRV,25025,7.017064274
5,AS,SCI,DRV,25027,72.94214946
33,AS,SCI,DRV_T,25017,10.27119697
